estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_prsns_ttl_nm, lga_name_2019, yr, lga_code_2019
13305,Ashburton ,2019,50250
16172,Augusta-Margaret River ,2019,50280
15823,Bassendean ,2019,50350
68362,Bayswater ,2019,50420
42078,Belmont ,2019,50490
1758,Beverley ,2019,50560
1801,Boddington ,2019,50630
1763,Boyup Brook ,2019,50770
4740,Bridgetown-Greenbushes ,2019,50840
952,Brookton ,2019,50910
16907,Broome ,2019,50980
1108,Broomehill-Tambellup ,2019,51080
940,Bruce Rock ,2019,51120
31644,Bunbury ,2019,51190
39623,Busselton ,2019,51260
28867,Cambridge ,2019,51310
92888,Canning ,2019,51330
18161,Capel ,2019,51400
534,Carnamah ,2019,51470
5182,Carnarvon ,2019,51540
1513,Chapman Valley ,2019,51610
5898,Chittering ,2019,51680
114320,Cockburn ,2019,51820
10712,Claremont ,2019,51750
8672,Collie ,2019,51890
980,Coorow ,2019,52030
3404,Coolgardie ,2019,51960
1133,Corrigin ,2019,52100
1057,Cranbrook ,2019,52240
14449,Dardanup ,2019,52660
850,Cuballing ,2019,52310
8251,Cottesloe ,2019,52170
143,Cue ,2019,52380
1422,Cunderdin ,2019,52450
1401,Dalwallinu ,2019,52520
3266,Dandaragan ,2019,52590
6215,Denmark ,2019,52730
8202,Derby-West Kimberley ,2019,52800
6095,Donnybrook-Balingup ,2019,52870
671,Dowerin ,2019,52940
665,Dumbleyung ,2019,53010
714,Dundas ,2019,53080
10928,East Pilbara ,2019,53220
14225,Esperance ,2019,53290
2871,Exmouth ,2019,53360
7837,East Fremantle ,2019,53150
31084,Fremantle ,2019,53430
5273,Gingin ,2019,53570
1200,Gnowangerup ,2019,53640
1002,Goomalling ,2019,53710
124081,Gosnells ,2019,53780
27975,Harvey ,2019,53990
38288,Greater Geraldton ,2019,53800
3454,Halls Creek ,2019,53920
3567,Irwin ,2019,54060
1127,Jerramungup ,2019,54130
159806,Joondalup ,2019,54170
58954,Kalamunda ,2019,54200
29469,Kalgoorlie/Boulder ,2019,54280
22716,Karratha ,2019,54310
1195,Kellerberrin ,2019,54410
1939,Kojonup ,2019,54550
4042,Katanning ,2019,54340
406,Koorda ,2019,54690
559,Kent ,2019,54480
857,Kondinin ,2019,54620
761,Kulin ,2019,54760
45092,Kwinana ,2019,54830
1263,Lake Grace ,2019,54900
86474,Mandurah ,2019,55110
1197,Laverton ,2019,54970
9111,Manjimup ,2019,55180
983,Meekatharra ,2019,55250
1526,Leonora ,2019,55040
102307,Melville ,2019,55320
3365,Merredin ,2019,55460
5263,Plantagenet ,2019,57210
520,Menzies ,2019,55390
427,Mingenew ,2019,55530
519,Mount Marshall ,2019,55880
15144,Port Hedland ,2019,57280
2374,Moora ,2019,55600
39100,Mundaring ,2019,56090
17911,Murray ,2019,56230
674,Morawa ,2019,55670
1386,Nannup ,2019,56300
22599,Nedlands ,2019,56580
9111,Mosman Park ,2019,55740
454,Mount Magnet ,2019,55810
1750,Ngaanyatjarraku ,2019,56620
11049,Northam ,2019,56730
533,Mukinbudin ,2019,55950
2944,Northampton ,2019,56790
162,Murchison ,2019,56160
999,Quairading ,2019,57350
845,Narembeen ,2019,56370
1558,Ravensthorpe ,2019,57420
4984,Narrogin ,2019,56460
28832,Perth ,2019,57080
249,Nungarin ,2019,56860
1147,Pingelly ,2019,57140
1732,Peppermint Grove ,2019,56930
580,Perenjori ,2019,57000
135943,Rockingham ,2019,57490
32562,Serpentine-Jarrahdale ,2019,57700
939,Shark Bay ,2019,57770
43773,South Perth ,2019,57840
